,Unnamed: 0,End_Year,W,L,Finish,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Start_Year,Pace
0,0,1947,30.0,30.0,3.3333333333333335,0.0,60.0,0.0,24.3,87.63333333333333,0.277,0.0,0.0,0.0,24.3,87.63333333333333,0.277,15.9,24.5,0.6463333333333333,0.0,0.0,0.0,7.033333333333334,0.0,0.0,0.0,19.433333333333337,64.46666666666665,1946.0,
1,1,1948,24.333333333333332,23.666666666666668,2.0,0.0,48.0,0.0,26.9,96.7,0.2786666666666667,0.0,0.0,0.0,26.9,96.7,0.2786666666666667,18.433333333333337,27.0,0.6816666666666666,0.0,0.0,0.0,7.466666666666666,0.0,0.0,0.0,21.366666666666664,72.23333333333333,1947.0,
2,2,1949,32.666666666666664,27.333333333333332,3.1666666666666665,0.0,60.0,0.0,29.03333333333333,88.35000000000001,0.3298333333333333,0.0,0.0,0.0,29.03333333333333,88.35000000000001,0.3298333333333333,22.21666666666667,31.96666666666667,0.6945,0.0,0.0,0.0,18.53333333333333,0.0,0.0,0.0,25.133333333333336,80.3,1948.0,
3,3,1950,38.75,28.25,2.75,0.0,67.0,0.0,28.5125,83.2125,0.343125,0.0,0.0,0.0,28.5125,83.2125,0.343125,23.9125,33.4625,0.7152499999999999,0.0,0.0,0.0,20.325,0.0,0.0,0.0,26.8125,80.9125,1949.0,
4,4,1951,36.125,31.25,2.625,0.0,67.375,0.0,29.8125,83.4,0.35825,0.0,0.0,0.0,29.8125,83.4,0.35825,25.15,34.3625,0.7324999999999999,0.0,0.0,51.25,21.25,0.0,0.0,0.0,27.4375,84.7875,1950.0,99.26
5,5,1952,34.5,31.5,2.75,26.3375,66.0,0.0,29.6375,80.2,0.36925,0.0,0.0,0.0,29.6375,80.2,0.36925,24.8,33.65,0.736875,0.0,0.0,54.75,22.2375,0.0,0.0,0.0,27.35,84.0625,1951.0,94.7
6,6,1953,38.375,31.75,2.75,26.3875,70.125,0.0,28.7,77.2125,0.371625,0.0,0.0,0.0,28.7,77.2125,0.371625,26.1,36.3,0.7185,0.0,0.0,51.9,21.2875,0.0,0.0,0.0,29.1,83.4875,1952.0,92.52000000000001
7,7,1954,38.5,33.5,2.5,26.625,72.0,0.0,28.025,75.1625,0.3725,0.0,0.0,0.0,28.025,75.1625,0.3725,23.6375,33.175,0.712625,0.0,0.0,50.6375,20.4875,0.0,0.0,0.0,25.425,79.7,1953.0,89.4
8,8,1955,36.0,36.0,2.5,26.8125,72.0,0.0,33.2875,86.4,0.385375,0.0,0.0,0.0,33.2875,86.4,0.385375,26.4875,35.925,0.7375,0.0,0.0,56.05,23.625,0.0,0.0,0.0,24.7625,93.0875,1954.0,103.64000000000001
9,9,1956,36.0,36.0,2.5,26.175,72.0,0.0,35.3375,91.4,0.386625,0.0,0.0,0.0,35.3375,91.4,0.386625,28.375,38.05,0.744875,0.0,0.0,60.1125,24.2875,0.0,0.0,0.0,26.35,99.0375,1955.0,108.72
10,10,1957,36.0,36.0,2.5,26.1,72.0,0.0,35.9375,94.55,0.380125,0.0,0.0,0.0,35.9375,94.55,0.380125,27.7375,36.95,0.750625,0.0,0.0,62.4,18.8625,0.0,0.0,0.0,25.1,99.625,1956.0,111.35999999999999
